City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Andres,CO,12.5847,-81.7006,82.42,89,40,4.61,scattered clouds
1,Bredasdorp,ZA,-34.5322,20.0403,64.72,53,88,7.47,overcast clouds
2,Jamestown,US,42.097,-79.2353,72.95,74,75,9.22,broken clouds
3,Cidreira,BR,-30.1811,-50.2056,66.81,77,80,17.54,broken clouds
4,Cape Town,ZA,-33.9258,18.4232,69.12,54,20,11.5,few clouds
5,Bodden Town,KY,19.2833,-81.25,80.6,83,40,4.61,scattered clouds
6,Trincomalee,LK,8.5711,81.2335,82.4,76,66,22.64,broken clouds
7,Vila Do Maio,CV,15.1333,-23.2167,86.79,80,95,12.57,overcast clouds
8,Hermanus,ZA,-34.4187,19.2345,66.79,65,13,5.79,few clouds
9,East London,ZA,-33.0153,27.9116,68.94,64,0,17.27,clear sky
10,Sabla,NG,12.7525,4.7077,103.33,22,98,7.54,overcast clouds
11,Port Elizabeth,ZA,-33.918,25.5701,68.09,75,20,18.41,few clouds
12,Port Alfred,ZA,-33.5906,26.891,68.18,69,99,5.99,overcast clouds
13,Tasiilaq,GL,65.6145,-37.6368,28.56,61,100,4.83,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,40.62,87,40,9.22,scattered clouds
15,Mahebourg,MU,-20.4081,57.7,77.29,65,20,5.75,few clouds
16,Busselton,AU,-33.65,115.3333,58.98,68,81,11.79,broken clouds
17,Saint-Pierre,RE,-21.3393,55.4781,76.68,69,0,19.57,clear sky
18,Chicama,PE,-7.8447,-79.1469,61.34,78,95,5.79,overcast clouds
19,Bowmore,US,34.9421,-79.3031,70.75,73,90,3.65,overcast clouds
20,Sambava,MG,-14.2667,50.1667,78.19,69,0,17.58,clear sky
21,Jumla,NP,29.2747,82.1838,60.4,80,90,1.03,overcast clouds
22,Henties Bay,NA,-22.116,14.2845,62.74,67,0,10.29,clear sky
23,Saint-Philippe,RE,-21.3585,55.7679,76.59,80,45,11.25,light rain
24,Jawa,JO,31.8525,35.9393,95.31,9,100,17.27,dust
25,Upernavik,GL,72.7868,-56.1549,17.13,74,13,1.3,few clouds
26,Oussouye,SN,12.485,-16.5469,95.18,34,74,9.57,broken clouds
27,Brae,GB,60.3964,-1.353,51.49,78,99,15.26,overcast clouds
28,Kamenka,RU,51.3223,42.7678,59.63,67,93,11.1,light rain
29,Sananduva,BR,-27.9497,-51.8067,63.75,77,70,6.76,broken clouds
30,Qaanaaq,GL,77.484,-69.3632,17.46,68,42,4.65,scattered clouds
31,Georgetown,MY,5.4112,100.3354,85.98,78,20,8.05,few clouds
32,Ilulissat,GL,69.2167,-51.1,24.82,68,75,0.0,broken clouds
33,Kasempa,ZM,-13.4584,25.8338,77.92,33,0,6.91,clear sky
34,Rock Sound,BS,24.9,-76.2,76.08,85,100,25.21,very heavy rain
35,Mar Del Plata,AR,-38.0023,-57.5575,54.95,64,0,5.75,clear sky
36,Margate,GB,51.3813,1.3862,68.11,63,2,7.11,clear sky
37,Hithadhoo,MV,-0.6,73.0833,83.43,70,82,9.44,broken clouds
38,Coquimbo,CL,-29.9533,-71.3436,51.53,93,100,3.44,overcast clouds
39,Nacaome,HN,13.5361,-87.4875,80.83,40,65,1.86,broken clouds
40,Feldbach,AT,46.9531,15.8883,79.68,46,86,6.15,overcast clouds
41,Pauini,BR,-7.7136,-66.9764,83.44,75,99,2.66,overcast clouds
42,Kalabo,ZM,-14.97,22.6814,83.75,25,4,6.62,clear sky
43,Korla,CN,41.7597,86.1469,73.38,23,5,5.79,clear sky
44,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,70,75,10.0,broken clouds
45,Olinda,BR,-8.0089,-34.8553,76.73,100,75,5.75,broken clouds
46,Ankazoabo,MG,-22.2833,44.5167,80.8,31,13,4.36,few clouds
47,Codrington,AU,-38.2667,141.9667,54.81,93,0,9.84,clear sky
48,Kiboga,UG,0.9161,31.7742,65.35,93,99,2.91,light rain
49,Faya,SA,18.3851,42.4509,84.31,11,28,15.86,scattered clouds
50,Mezica,SI,46.5214,14.8544,75.36,74,100,4.07,overcast clouds
51,Zaysan,KZ,47.4667,84.8667,70.02,22,100,5.32,overcast clouds
52,Salta,AR,-24.7859,-65.4117,59.59,79,75,5.75,broken clouds
53,Marzuq,YE,14.4,46.4667,91.2,8,91,18.52,overcast clouds
54,Iqaluit,CA,63.7506,-68.5145,19.13,73,40,23.02,light snow
55,Carnarvon,AU,-24.8667,113.6333,68.04,43,0,15.77,clear sky
56,Kashary,RU,49.04,41.0056,57.72,75,100,11.25,light rain
57,Chuy,UY,-33.6971,-53.4616,65.37,65,20,6.31,few clouds
58,Talnakh,RU,69.4865,88.3972,35.69,100,100,5.93,overcast clouds
59,Victoria,HK,22.2855,114.1577,77.38,93,100,13.0,overcast clouds
60,Niort,FR,46.3333,-0.3333,80.62,46,100,1.99,overcast clouds
61,Trinidad,BO,-14.8333,-64.9,78.78,83,20,0.0,few clouds
62,Manavalakurichi,IN,8.1333,77.3,80.38,81,100,12.77,overcast clouds
63,Grand-Lahou,CI,5.1367,-5.0242,76.12,85,100,4.76,light rain
64,General Roca,AR,-39.0333,-67.5833,52.59,35,0,5.46,clear sky
65,Kavaratti,IN,10.5669,72.642,80.26,83,100,26.49,overcast clouds
66,Necochea,AR,-38.5473,-58.7368,52.56,51,0,12.62,clear sky
67,Pangoa,PE,-12.1167,-73.0,79.95,60,6,1.77,clear sky
68,Totskoye,RU,52.5248,52.7623,58.24,65,100,9.26,overcast clouds
69,Tarnow,PL,50.0138,20.987,70.05,54,29,13.35,scattered clouds
70,Santiago,CL,-33.4569,-70.6483,62.29,70,75,3.44,haze
71,Bathsheba,BB,13.2167,-59.5167,83.01,69,75,19.57,broken clouds
72,Saint Anthony,US,45.0205,-93.218,69.93,55,0,11.5,clear sky
73,Vardo,NO,70.3705,31.1107,40.98,81,20,8.05,few clouds
74,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,61,20,4.61,few clouds
75,French Harbor,HN,16.35,-86.4333,83.07,75,20,4.61,few clouds
76,Mercedes,AR,-34.6515,-59.4307,60.64,39,4,10.25,clear sky
77,Kuytun,RU,54.3419,101.5036,58.32,27,12,4.74,few clouds
78,Plettenberg Bay,ZA,-34.0527,23.3716,63.34,62,32,6.38,scattered clouds
79,Clyde River,CA,70.4692,-68.5914,23.23,80,100,14.97,overcast clouds
80,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,64,11,6.71,few clouds
81,Praia,CV,14.9215,-23.5087,86.54,39,0,27.63,clear sky
82,Mariakani,KE,-3.8633,39.4736,82.71,60,70,14.0,broken clouds
83,Gat,IL,31.61,34.7642,99.39,34,100,15.05,overcast clouds
84,Havoysund,NO,70.9963,24.6622,39.43,86,78,8.03,broken clouds
85,Warud,IN,21.4667,78.2667,104.02,14,84,8.95,broken clouds
86,Punta Arenas,CL,-53.15,-70.9167,42.91,81,20,13.8,few clouds
87,Oranjestad,AW,12.524,-70.027,84.15,70,40,25.32,scattered clouds
88,Calvinia,ZA,-31.4707,19.776,62.82,28,0,7.05,clear sky
89,Skibbereen,IE,51.55,-9.2667,57.11,61,5,8.03,clear sky
90,Aksarka,RU,66.5606,67.7975,43.9,98,99,13.09,overcast clouds
91,Cayenne,GF,4.9333,-52.3333,84.09,1,100,6.91,overcast clouds
92,Marsabit,KE,2.3284,37.9899,77.14,46,69,16.67,broken clouds
93,Ponta Do Sol,PT,32.6667,-17.1,76.71,63,17,9.91,few clouds
94,Solano,US,38.2333,-121.9511,61.27,83,0,9.22,clear sky
95,Madingou,CG,-4.1536,13.55,86.22,69,79,2.75,light rain
96,Lamu,KE,-2.2717,40.902,84.42,76,48,14.23,scattered clouds
97,Minab,IR,27.1467,57.0801,93.52,38,0,6.91,haze
98,Viedma,AR,-40.8135,-62.9967,55.62,49,0,16.89,clear sky
99,Ilebo,CD,-4.3167,20.5833,86.11,56,100,1.97,overcast clouds
100,Dimbokro,CI,6.6451,-4.7048,82.35,74,100,2.68,overcast clouds
101,Rapsani,GR,39.902,22.5485,81.12,49,76,3.4,broken clouds
102,Castro,BR,-24.7911,-50.0119,64.76,67,100,5.1,overcast clouds
103,Boda,CF,4.3189,17.4695,90.68,43,82,2.77,broken clouds
104,Jaru,BR,-10.4389,-62.4664,83.73,72,3,2.17,clear sky
105,Mbini,GQ,1.574,9.6134,82.92,79,97,8.32,moderate rain
106,Dhrangadhra,IN,22.9833,71.4667,97.41,32,0,20.56,clear sky
107,Gambela,ET,8.25,34.5833,96.64,34,93,8.48,overcast clouds
108,Pisco,PE,-13.7,-76.2167,61.02,94,100,4.61,mist
109,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,81,75,21.85,broken clouds
110,Luderitz,NA,-26.6481,15.1594,68.97,50,0,18.61,clear sky
111,Torbay,CA,47.6666,-52.7314,40.28,95,100,12.66,light intensity shower rain
112,Laguna,US,38.421,-121.4238,62.78,90,0,0.0,clear sky
113,Nanortalik,GL,60.1432,-45.2371,32.34,78,88,8.61,overcast clouds
114,Turukhansk,RU,65.8167,87.9833,51.67,81,34,5.88,scattered clouds
115,Richards Bay,ZA,-28.783,32.0377,70.52,84,100,7.54,overcast clouds
116,Salinas,US,36.6777,-121.6555,53.96,91,100,4.61,fog
117,Touros,BR,-5.1989,-35.4608,85.01,70,41,14.9,scattered clouds
118,Lieksa,FI,63.3167,30.0167,49.62,52,38,4.34,scattered clouds
119,Karatau,KZ,43.1667,70.4667,59.67,77,100,13.09,moderate rain
120,Baoro,CF,5.6667,15.9667,86.97,45,100,4.52,overcast clouds
121,Dikson,RU,73.5069,80.5464,32.27,96,100,11.54,overcast clouds
122,Kutum,SD,14.2,24.6667,97.63,15,69,9.69,broken clouds
123,Qaqortoq,GL,60.7167,-46.0333,32.77,75,93,7.78,overcast clouds
124,Grindavik,IS,63.8424,-22.4338,48.15,57,75,8.05,broken clouds
125,Salalah,OM,17.0151,54.0924,105.89,6,6,13.8,dust
126,Kruisfontein,ZA,-34.0033,24.7314,65.88,61,91,13.6,overcast clouds
127,Polovinnoye,RU,54.7914,65.9864,58.93,62,100,6.17,overcast clouds
128,Saint-Joseph,RE,-21.3667,55.6167,75.58,80,25,12.17,scattered clouds
129,Jardim Do Serido,BR,-6.5844,-36.7744,91.35,43,17,13.89,few clouds
130,Bambous Virieux,MU,-20.3428,57.7575,77.25,65,20,5.75,few clouds
131,Jiwani,PK,25.05,61.7417,88.29,57,0,12.12,clear sky
132,Montecristi,EC,-1.05,-80.6667,73.22,88,100,6.91,overcast clouds
133,Chapais,CA,49.7834,-74.8492,53.38,70,93,5.77,overcast clouds
134,Buraydah,SA,26.326,43.975,95.45,6,0,21.77,clear sky
135,Dingle,PH,10.9995,122.6711,79.54,85,81,1.66,broken clouds
136,Hamilton,US,39.1834,-84.5333,76.59,71,40,3.44,scattered clouds
137,Minas Novas,BR,-17.2186,-42.5903,73.98,63,100,5.26,overcast clouds
138,Manono,CD,-7.3,27.4167,88.68,35,56,5.97,broken clouds
139,Miraflores,MX,19.2167,-98.8083,65.03,45,68,2.53,broken clouds
140,Montbrison,FR,45.6667,4.0833,79.14,52,80,3.44,broken clouds
141,Lumeje,AO,-11.55,20.7833,83.61,25,5,7.56,clear sky
142,Sao Filipe,CV,14.8961,-24.4956,78.31,62,14,2.86,few clouds
143,Bodh Gaya,IN,24.7,84.9833,96.69,46,0,3.44,haze
144,Cururupu,BR,-1.8283,-44.8683,84.42,74,91,7.29,overcast clouds
145,Ostrovnoy,RU,68.0531,39.5131,40.84,76,100,8.39,overcast clouds
146,Chake Chake,TZ,-5.2459,39.7666,81.46,73,99,10.42,overcast clouds
147,Salinopolis,BR,-0.6136,-47.3561,82.17,84,55,10.47,broken clouds
148,Markivka,UA,49.5229,39.5705,60.58,60,100,10.85,overcast clouds
149,Swellendam,ZA,-34.0226,20.4417,66.45,47,50,4.68,scattered clouds
150,Ouadda,CF,8.0777,22.4007,89.64,43,100,2.35,light rain
151,Uige,AO,-7.6087,15.0613,84.22,65,40,6.91,scattered clouds
152,Sergeyevka,KZ,53.88,67.4158,58.32,82,100,11.59,moderate rain
153,Risod,IN,19.9667,76.7833,99.97,20,2,10.07,clear sky
154,Vestmanna,FO,62.1564,-7.1664,47.32,87,100,6.91,light rain
155,Doha,QA,25.2867,51.5333,93.51,18,0,21.85,dust
156,Mubi,NG,10.2676,13.2644,97.48,26,86,9.91,overcast clouds
157,Acarau,BR,-2.8856,-40.12,80.38,83,100,12.68,overcast clouds
158,Paamiut,GL,61.994,-49.6678,27.05,62,100,10.76,overcast clouds
159,San Cristobal,VE,7.7669,-72.225,73.58,63,100,7.61,overcast clouds
160,Ambovombe,MG,-25.1667,46.0833,73.26,72,0,9.75,clear sky
161,Bubaque,GW,11.2833,-15.8333,78.42,79,30,9.08,scattered clouds
162,Apatou,GF,5.155,-54.3472,77.79,95,98,2.33,moderate rain
163,Vogan,TG,6.3333,1.5333,87.62,59,95,10.92,overcast clouds
164,Aleksandrov Gay,RU,50.147,48.5704,63.84,53,100,12.93,overcast clouds
165,Lixourion,GR,38.2019,20.4314,73.4,83,20,12.66,few clouds
166,Narsaq,GL,60.9167,-46.05,32.22,74,98,3.91,light snow
167,Padang,ID,-0.9492,100.3543,84.25,83,6,3.47,clear sky
168,Hornepayne,CA,49.2138,-84.7705,63.75,75,100,5.28,overcast clouds
169,Vigrestad,NO,58.5667,5.7,50.95,79,47,12.73,scattered clouds
170,Agadir,MA,30.4202,-9.5982,81.05,46,61,11.68,broken clouds
171,Diamantino,BR,-14.4086,-56.4461,88.02,40,1,4.9,clear sky
172,Bengkulu,ID,-3.8004,102.2655,80.04,88,93,5.03,overcast clouds
173,Salon,IN,26.0333,81.45,102.97,8,0,7.56,clear sky
174,Ilek,RU,51.5271,53.3831,60.8,63,97,8.66,overcast clouds
175,Caluquembe,AO,-13.7833,14.6833,78.73,29,22,1.68,few clouds
176,Saint George,US,37.1041,-113.5841,55.99,15,0,0.0,clear sky
177,Avesta,SE,60.1455,16.1679,61.12,42,70,7.16,broken clouds
178,Paranagua,BR,-25.52,-48.5092,74.01,62,98,2.73,overcast clouds
179,Inhambane,MZ,-23.865,35.3833,75.29,68,0,7.67,clear sky
180,Nampula,MZ,-15.1165,39.2666,80.55,47,40,6.91,scattered clouds
181,Puerto Ayacucho,VE,5.6639,-67.6236,84.65,71,89,1.45,moderate rain
182,Camabatela,AO,-8.1881,15.375,74.05,66,100,2.95,overcast clouds
183,Torrijos,ES,39.9819,-4.2835,82.08,19,44,8.01,scattered clouds
184,Santa Ines,BR,-3.6667,-45.38,85.51,71,61,6.33,broken clouds
185,Asti,IT,44.8979,8.2068,83.57,56,10,5.21,clear sky
186,Longyearbyen,SJ,78.2186,15.6401,28.24,69,40,6.91,scattered clouds
187,Atri,IT,42.5778,13.9848,77.07,48,100,5.84,overcast clouds
188,Sakakah,SA,29.9697,40.2064,96.37,10,25,8.7,scattered clouds
189,Sabalgarh,IN,26.25,77.4,105.13,7,16,7.09,few clouds
190,Mindelo,CV,16.8901,-24.9804,85.55,42,0,32.21,clear sky
191,Sistranda,NO,63.7256,8.834,44.56,79,100,30.65,overcast clouds
192,Grand Gaube,MU,-20.0064,57.6608,77.4,66,8,4.0,clear sky
193,Ribeira Grande,PT,38.5167,-28.7,61.2,94,75,33.38,drizzle rain
194,Ploemeur,FR,47.7333,-3.4333,73.85,57,75,12.66,broken clouds
195,Casablanca,MA,33.5928,-7.6192,82.62,68,40,9.22,scattered clouds
196,Concepcion Del Uruguay,AR,-32.4825,-58.2372,62.26,80,0,1.99,clear sky
197,Harper,LR,4.375,-7.7169,82.38,79,88,9.93,light rain
198,Ugoofaaru,MV,5.6667,73.0,80.73,82,100,20.45,light rain
199,Kem,RU,64.9555,34.5793,42.01,93,100,4.88,overcast clouds
200,Humaita,BR,-7.5061,-63.0208,83.93,76,69,3.36,broken clouds
201,Vila Velha,BR,-20.3297,-40.2925,80.55,65,40,11.5,scattered clouds
202,Bilma,NE,18.6853,12.9164,98.38,9,0,17.56,clear sky
203,Coleraine,GB,55.1333,-6.6667,66.11,71,60,3.53,broken clouds
204,Pokhara,NP,28.2333,83.9833,76.35,60,89,5.75,overcast clouds
205,Umm Lajj,SA,25.0213,37.2685,90.95,41,0,3.47,clear sky
206,Amapa,BR,1.0,-52.0,81.14,82,100,2.75,overcast clouds
207,Takoradi,GH,4.8845,-1.7554,85.14,69,76,10.58,broken clouds
208,Havelock,US,34.8791,-76.9013,69.75,95,75,3.44,broken clouds
209,Nouadhibou,MR,20.931,-17.0347,72.21,64,100,21.83,overcast clouds
210,Muravlenko,RU,63.7898,74.523,61.99,52,43,9.01,scattered clouds
211,Monastyrshchina,RU,54.3496,31.838,54.52,67,99,11.12,light rain
212,Aden,YE,12.7794,45.0367,88.7,63,77,6.26,broken clouds
213,Sur,OM,22.5667,59.5289,86.76,64,0,10.27,clear sky
214,Kursk,RU,51.7303,36.1939,66.4,39,0,15.66,clear sky
215,Dwarka,IN,22.2394,68.9678,84.7,81,0,14.94,clear sky
216,Zdvinsk,RU,54.7021,78.661,64.11,61,13,10.56,few clouds
217,Cockburn Town,TC,21.4612,-71.1419,79.36,86,100,22.46,overcast clouds
218,Tobane,BW,-21.95,27.9,83.62,17,4,9.33,clear sky
219,Cotonou,BJ,6.3654,2.4183,87.78,70,40,9.22,scattered clouds
220,Mirandopolis,BR,-21.1336,-51.1017,81.52,39,5,8.88,clear sky
221,Wagar,SD,16.1525,36.2032,109.56,8,0,8.88,clear sky
222,Pocone,BR,-16.2567,-56.6228,90.37,37,90,5.37,overcast clouds
223,Saldanha,ZA,-33.0117,17.9442,69.85,70,0,15.01,clear sky
224,Jalu,LY,29.0331,21.5482,82.24,21,0,13.89,clear sky
225,Derzhavinsk,KZ,51.1,66.3167,60.39,69,98,17.85,overcast clouds
226,Senanga,ZM,-16.1167,23.2667,85.53,23,10,6.96,clear sky
227,Bell Ville,AR,-32.6259,-62.6887,59.81,66,83,7.85,broken clouds
228,Colombo,LK,6.9319,79.8478,80.55,92,100,23.24,light rain
229,Bara,NG,10.3744,10.7288,99.46,24,100,9.57,overcast clouds
230,Longonjo,AO,-12.9067,15.2533,82.27,31,30,1.92,scattered clouds
231,Tarnogskiy Gorodok,RU,60.4997,43.5761,44.08,95,100,4.92,overcast clouds
232,Kambove,CD,-10.8764,26.5969,74.23,43,9,6.2,clear sky
233,Nioro,GM,13.35,-15.75,104.04,18,71,2.77,broken clouds
234,Lagoa,PT,39.05,-27.9833,61.34,78,100,22.59,overcast clouds
235,Torbat-E Jam,IR,35.244,60.6225,64.72,36,76,20.27,broken clouds
236,Klaksvik,FO,62.2266,-6.589,49.12,86,100,6.8,overcast clouds
237,Maragogi,BR,-9.0122,-35.2225,83.01,74,100,10.38,overcast clouds
238,Sisimiut,GL,66.9395,-53.6735,25.32,57,76,7.54,broken clouds
239,Umm Kaddadah,SD,13.6017,26.6876,104.5,13,11,3.11,few clouds
240,Goderich,CA,43.7501,-81.7165,71.92,68,6,8.05,clear sky
241,Roccastrada,IT,43.0099,11.1665,79.09,27,0,8.95,clear sky
242,Muros,ES,42.7762,-9.0603,84.69,46,72,6.17,broken clouds
243,Matara,LK,5.9485,80.5353,77.79,94,100,15.79,overcast clouds
244,Mogadishu,SO,2.0371,45.3438,87.67,70,20,17.27,few clouds
245,Troitsko-Pechorsk,RU,62.7084,56.1964,48.52,91,100,2.46,moderate rain
246,Tanga,TZ,-5.0667,39.1,82.54,68,72,11.79,broken clouds
247,Ancud,CL,-41.8697,-73.8203,50.14,87,76,5.46,broken clouds
248,Isla Mujeres,MX,21.2311,-86.731,78.17,56,0,4.18,clear sky
249,Aranda De Duero,ES,41.6704,-3.6892,70.12,55,99,4.59,light rain
250,Yar-Sale,RU,66.8333,70.8333,37.74,100,100,11.77,overcast clouds
251,Riyadh,SA,24.6877,46.7219,93.34,6,0,24.92,clear sky
252,Reconquista,AR,-29.15,-59.65,62.08,74,99,7.7,overcast clouds
253,Namibe,AO,-15.1961,12.1522,75.83,73,0,11.5,clear sky
254,Mumford,GH,5.2618,-0.759,84.29,73,100,11.41,overcast clouds
255,Bud,US,39.447,-86.1758,77.9,72,21,4.94,few clouds
256,Surok,RU,56.4469,48.1214,56.75,65,84,9.82,light rain
257,Butajira,ET,8.1167,38.3667,81.19,18,64,18.32,broken clouds
258,Leshukonskoye,RU,64.8989,45.7622,59.32,69,85,8.21,light rain
259,Bardiyah,LY,31.7561,25.0865,72.03,51,0,13.42,clear sky
260,Skjervoy,NO,70.0311,20.9714,46.4,90,100,5.46,overcast clouds
261,Halifax,CA,44.6453,-63.5724,73.4,63,19,8.05,few clouds
262,Areosa,PT,41.7178,-8.8571,72.07,54,21,6.26,few clouds
263,Galle,LK,6.0367,80.217,78.42,93,100,18.43,overcast clouds
264,Mehamn,NO,71.0357,27.8492,42.71,75,54,4.59,broken clouds
265,Bougouni,ML,11.417,-7.479,106.52,13,35,8.08,scattered clouds
266,Lebu,CL,-37.6167,-73.65,50.72,69,96,16.11,overcast clouds
267,Aparecida Do Taboado,BR,-20.0867,-51.0936,83.46,40,5,7.36,clear sky
268,Berlevag,NO,70.8578,29.0864,42.75,56,41,9.22,scattered clouds
269,Alta Floresta,BR,-9.8756,-56.0861,87.62,62,0,6.91,clear sky
270,El Cope,PA,8.6167,-80.6,74.32,82,100,2.33,overcast clouds
271,Lunel,FR,43.6778,4.1361,81.55,57,0,13.8,clear sky
272,Zaraza,VE,9.3503,-65.3245,90.09,43,57,10.36,broken clouds
273,Tazovskiy,RU,67.4667,78.7,38.03,100,100,8.19,overcast clouds
274,Ornskoldsvik,SE,63.2909,18.7153,56.35,44,40,18.41,scattered clouds
275,Suzun,RU,53.7841,82.3116,68.67,43,14,6.11,light rain
276,Marrakesh,MA,31.6315,-8.0083,86.07,25,40,8.05,scattered clouds
277,Mahanje,TZ,-9.9333,35.3333,73.31,64,57,1.77,broken clouds
278,Mounana,GA,-1.4085,13.1586,91.31,53,68,1.54,broken clouds
279,Rocha,UY,-34.4833,-54.3333,62.94,67,7,5.17,clear sky
280,Ciro Marina,IT,39.3732,17.126,82.27,58,25,9.42,scattered clouds
281,Maarianhamina,AX,60.0973,19.9348,53.46,66,20,12.66,few clouds
282,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,68,20,8.05,few clouds
283,Luanda,AO,-8.8368,13.2343,82.4,69,40,10.36,scattered clouds
284,Tucupita,VE,9.0622,-62.051,87.58,52,40,7.02,scattered clouds
285,Gazanjyk,TM,39.2446,55.5154,78.04,28,1,2.86,clear sky
286,Rio Grande,BR,-32.035,-52.0986,58.95,76,100,11.48,overcast clouds
287,Najran,SA,17.4924,44.1277,93.85,9,0,16.93,clear sky
288,Quatre Cocos,MU,-20.2078,57.7625,77.11,70,60,12.12,broken clouds
289,Jaciara,BR,-15.9653,-54.9683,86.27,43,12,4.72,few clouds
290,Kirovsk,UA,48.6375,38.6428,55.15,82,100,5.88,light rain
291,Ankazobe,MG,-18.3167,47.1167,67.66,55,15,2.19,few clouds
292,Meteti,PA,8.4983,-77.9786,80.55,84,77,1.68,broken clouds
293,Aksu,CN,41.1231,80.2644,71.11,35,100,5.28,overcast clouds
294,Puerto Cabezas,NI,14.0351,-83.3888,80.56,89,40,4.61,scattered clouds
295,Nouakchott,MR,18.0858,-15.9785,111.13,19,84,5.97,broken clouds
296,Garowe,SO,8.4054,48.4845,97.66,18,20,6.76,few clouds
297,Bhalwal,PK,32.272,72.9043,103.08,4,1,5.61,clear sky
298,Hambantota,LK,6.1241,81.1185,77.34,100,100,11.5,overcast clouds
299,Goundi,TD,9.3627,17.366,102.24,25,68,3.29,broken clouds
300,Thinadhoo,MV,0.5333,72.9333,84.29,65,100,12.33,overcast clouds
301,Straumen,NO,63.8709,11.2999,44.6,88,100,16.55,light rain
302,Morondava,MG,-20.2833,44.2833,80.02,58,0,10.11,clear sky
303,Jijiga,ET,9.35,42.8,84.54,14,52,17.31,broken clouds
304,Medea,DZ,36.2642,2.7539,82.22,28,56,2.24,broken clouds
305,Treinta Y Tres,UY,-33.2333,-54.3833,62.91,73,3,6.2,clear sky
306,Maceio,BR,-9.6658,-35.7353,78.24,94,75,5.75,mist
307,Vawkavysk,BY,53.1561,24.4513,57.61,66,83,18.19,broken clouds
308,Geraldton,AU,-28.7667,114.6,61.21,82,40,5.75,scattered clouds
309,Dudinka,RU,69.4058,86.1778,34.47,100,100,4.59,overcast clouds
310,Mahanoro,MG,-19.9,48.8,73.56,69,4,4.85,clear sky
311,Ermelo,ZA,-26.5333,29.9833,69.17,26,92,6.08,overcast clouds
312,Bukama,CD,-9.2,25.85,88.03,33,8,4.54,clear sky
313,Westport,US,41.1415,-73.3579,73.44,92,100,0.0,mist
314,Ventspils,LV,57.3894,21.5606,51.73,87,0,10.36,clear sky
315,Muzhi,RU,65.3667,64.6667,51.67,92,100,6.13,heavy intensity rain
316,Mpulungu,ZM,-8.7623,31.1141,79.95,56,16,3.13,few clouds
317,Villingen-Schwenningen,DE,48.0667,8.45,74.59,48,32,6.8,scattered clouds
318,Japura,ID,-0.3167,102.35,77.79,94,31,3.33,scattered clouds
319,Killybegs,IE,54.6333,-8.45,60.51,65,100,5.06,overcast clouds
320,Shelburne,CA,44.0787,-80.2041,72.36,64,0,7.45,clear sky
321,Conceicao Da Barra,BR,-18.5933,-39.7322,79.52,65,100,9.4,overcast clouds
322,Mamallapuram,IN,12.6264,80.1722,86.05,74,100,16.82,overcast clouds
323,Ponta Delgada,PT,37.7333,-25.6667,69.49,68,20,18.41,few clouds
324,Mecca,SA,21.4267,39.8261,102.99,16,0,17.96,clear sky
325,Mariel,CU,22.9875,-82.7536,77.14,61,0,6.67,clear sky
326,Senekal,ZA,-28.3197,27.6208,70.3,20,66,14.16,broken clouds
327,Balkhash,KZ,46.844,74.9804,63.41,64,74,6.38,broken clouds
328,Albany,US,42.6001,-73.9662,73.27,76,58,1.92,broken clouds
329,Canakkale,TR,40.0833,26.8333,68.58,59,87,5.17,overcast clouds
